GenAge_ID,symbol,name_gene,organism,entrez_gene_id,avg_lifespan_change,lifespan_effect,longevity_influence
1,aak-2,AMP-Activated Kinase,Caenorhabditis elegans,181727,,Increase and Decrease,Pro-Longevity
2,aat-8,Amino Acid Transporter,Caenorhabditis elegans,185079,30,Increase,Anti-Longevity
3,abu-11,Activated in Blocked Unfolded protein response,Caenorhabditis elegans,173404,28,Increase,Pro-Longevity
4,acl-11,ACyLtransferase-like,Caenorhabditis elegans,185044,,Increase,Anti-Longevity
5,aco-2,ACOnitase,Caenorhabditis elegans,176121,20.5,Increase,Anti-Longevity
6,Adcy5,adenylate cyclase 5,Mus musculus,224129,30,Increase,Anti-Longevity
7,age-1,"AGEing alteration AGE-1, abnormal DAuer Formation DAF-23",Caenorhabditis elegans,174762,1000,Increase,Anti-Longevity
8,AGP1,high-Affinity Glutamine Permease,Saccharomyces cerevisiae,850333,,Increase,Anti-Longevity
9,ain-1,ALG-1 INteracting protein,Caenorhabditis elegans,181719,10,Decrease,Pro-Longevity
10,akt-1,AKT kinase family,Caenorhabditis elegans,179424,,Increase,Anti-Longevity
11,alg-2,Argonaute (plant)-Like Gene,Caenorhabditis elegans,173468,24,Decrease,Pro-Longevity
12,amt-2,AMmonium Transporter homolog,Caenorhabditis elegans,186047,20,Increase,Anti-Longevity
13,Arhgap1,Rho GTPase activating protein 1,Mus musculus,228359,,Decrease,Pro-Longevity
14,arl-8,ARF-Like,Caenorhabditis elegans,178405,,Decrease,Pro-Longevity
15,Arntl,aryl hydrocarbon receptor nuclear translocator-like,Mus musculus,11865,,Decrease,Pro-Longevity
16,arx-4,ARp2/3 compleX component,Caenorhabditis elegans,175247,,Decrease,Pro-Longevity
17,asb-2,ATP Synthase B homolog,Caenorhabditis elegans,180718,,Increase,Anti-Longevity
18,asg-1,ATP Synthase G homolog,Caenorhabditis elegans,172673,,Increase,Anti-Longevity
19,asg-2,ATP synthase subunit,Caenorhabditis elegans,180956,,Increase,Anti-Longevity
20,asm-3,Acid SphingoMyelinase,Caenorhabditis elegans,176879,50,Increase,Anti-Longevity
21,Atg7,Autophagy-specific gene 7,Drosophila melanogaster,37141,,Decrease,Pro-Longevity
22,Atg8a,Autophagy-related 8a,Drosophila melanogaster,32001,,Increase and Decrease,Pro-Longevity
23,atg-7,AuTophaGy (yeast Atg homolog),Caenorhabditis elegans,178005,,Increase,Unclear
24,Atm,Ataxia telangiectasia mutated homolog (human),Mus musculus,11920,,Decrease,Pro-Longevity
25,atp-2,ATP synthase F1 subunit gamma,Caenorhabditis elegans,175716,43,Increase,Anti-Longevity
26,atp-3,ATP synthase subunit,Caenorhabditis elegans,172195,21,Increase,Anti-Longevity
27,atp-4,ATP synthase subunit,Caenorhabditis elegans,179025,,Increase,Anti-Longevity
28,atp-5,ATP synthase subunit,Caenorhabditis elegans,179541,,Increase,Anti-Longevity
29,ATP2,ATP synthase F1 subunit gamma,Saccharomyces cerevisiae,853585,50,Decrease,Pro-Longevity
30,Atr,Ataxia telangiectasia and Rad3 related,Mus musculus,245000,,Decrease,Pro-Longevity
31,trx-1,ThioRedoXin,Caenorhabditis elegans,181863,,Decrease,Pro-Longevity
32,let-363,LEThal,Caenorhabditis elegans,172167,150,Increase,Anti-Longevity
33,mrpl-47,Protein MRPL-47,Caenorhabditis elegans,172164,20,Increase,Anti-Longevity
34,mboa-1,Protein MBOA-1,Caenorhabditis elegans,181681,16,Decrease,Pro-Longevity
35,B0491.5,Protein B0491.5,Caenorhabditis elegans,174734,60,Increase,Anti-Longevity
36,B0511.6,Protein B0511.6,Caenorhabditis elegans,172954,50,Increase,Anti-Longevity
37,B0546.3,Protein B0546.3,Caenorhabditis elegans,182030,27,Increase,Anti-Longevity
38,baf-1,Barrier to Autointegration Factor,Caenorhabditis elegans,176330,28,Decrease,Pro-Longevity
39,bar-1,beta-catenin,Caenorhabditis elegans,180982,45,Decrease,Pro-Longevity
40,Bax,Bcl2-associated X protein,Mus musculus,12028,,Increase,Unannotated
41,bchs,blue cheese,Drosophila melanogaster,33819,45,Decrease,Pro-Longevity
42,BCY1,Bypass of CYclase mutations,Saccharomyces cerevisiae,854778,,Decrease,Unannotated
43,agmo-1,Protein AGMO-1,Caenorhabditis elegans,176695,30,Decrease,Pro-Longevity
44,bec-1,BEClin (human autophagy) homolog,Caenorhabditis elegans,177345,40,Decrease,Pro-Longevity
45,blmp-1,Blimp1 (B Lymphocyte-induced Maturation Protein-1) homolog,Caenorhabditis elegans,172917,20,Decrease,Pro-Longevity
46,Bmcp,Bmcp,Drosophila melanogaster,39322,,Increase,Anti-Longevity
47,bra-1,BMP receptor Associated protein family,Caenorhabditis elegans,181481,25,Decrease,Pro-Longevity
48,Brca1,Breast cancer 1,Mus musculus,12189,,Decrease,Pro-Longevity
49,BRE5,Bre5p,Saccharomyces cerevisiae,855787,,Increase and Decrease,Anti-Longevity
50,Bub1b,"budding uninhibited by benzimidazoles 1 homolog, beta (S. cerevisiae)",Mus musculus,12236,,Increase and Decrease,Pro-Longevity
51,Bub3,budding uninhibited by benzimidazoles 3 homolog (S. cerevisiae),Mus musculus,12237,12,Decrease,Pro-Longevity
52,ztf-12,Zinc finger Transcription Factor family,Caenorhabditis elegans,179257,,Decrease,Pro-Longevity
53,C01F1.1,Protein C01F1.1,Caenorhabditis elegans,173764,28,Decrease,Pro-Longevity
