tax_id	GeneID	PubMed_ID
9	1246500	9873079
9	1246501	9873079
9	1246502	9873079
9	1246503	9873079
9	1246504	9873079
9	1246505	9873079
9	1246509	10984505
9	1246510	10984505
9	3722426	9873079
9	8655732	16413149
9	8655733	16413149
9	8655734	16413149
9	8655735	16413149
9	8655736	16413149
9	20468915	9872768
9	20468916	9872768
33	5961931	18245244
33	5961932	18245244
33	5961933	18245244
33	5961934	18245244
33	5961935	18245244
33	5961936	18245244
33	5961937	18245244
33	5961938	18245244
33	5961939	18245244
33	5961940	18245244
33	5961941	18245244
33	5961942	18245244
33	5961943	18245244
33	5961944	18245244
33	5961945	18245244
33	5961946	18245244
33	5961947	18245244
33	5961948	18245244
33	5961949	18245244
33	5961950	18245244
33	5961951	18245244
33	5961952	18245244
33	5961953	18245244
139	1343045	10678977
139	1343046	10678977
139	1343047	10678977
139	1343048	10678977
139	1343049	10678977
139	1343050	10678977
139	1343051	10678977
139	1343052	10678977
139	1343053	10678977
139	1343054	10678977
139	1343055	10678977
139	1343056	10678977
139	1343057	10678977
139	1343058	10678977
139	1343059	10678977
139	1343060	10678977
139	1343061	10678977
139	1343062	10678977
139	1343063	10678977
139	1343064	10678977
139	1343065	10678977
139	1343066	10678977
139	1343067	10678977
139	1343068	10678977
139	1343069	10678977
139	1343070	10678977
139	1343071	10678977
139	1343072	10678977
139	1343073	10678977
139	1343074	10678977
139	1343075	10678977
139	4362664	8169221
139	4362665	8169221
139	4362666	8169221
139	4362667	8169221
139	4362668	8169221
139	4362669	8169221
139	4362670	8169221
139	4362671	8169221
139	4362672	8169221
139	4362673	8169221
139	4362674	8169221
139	4594753	8932323
139	4594754	8932323
139	4594755	8932323
139	4594756	8932323
139	4594757	8932323
139	4594758	8932323
139	4594759	8932323
139	4594760	8932323
139	4594761	8932323
139	4594762	8932323
139	4594763	8932323
139	4594764	8932323
139	4594765	8932323
139	4594766	8932323
139	13917590	23692497
139	13917590	23962611
139	13917590	24363169
139	13917590	26438793
