1,all,,synonym
1,root,,scientific name
2,Bacteria,Bacteria <prokaryotes>,scientific name
2,Monera,Monera <Bacteria>,in-part
2,Procaryotae,Procaryotae <Bacteria>,in-part
2,Prokaryota,Prokaryota <Bacteria>,in-part
2,Prokaryotae,Prokaryotae <Bacteria>,in-part
2,bacteria,bacteria <blast2>,blast name
2,eubacteria,,genbank common name
2,prokaryote,prokaryote <Bacteria>,in-part
2,prokaryotes,prokaryotes <Bacteria>,in-part
6,Azorhizobium,,scientific name
6,Azorhizobium Dreyfus et al. 1988 emend. Lang et al. 2013,,authority
7,ATCC 43989,ATCC 43989 <type strain>,type material
7,Azorhizobium caulinodans,,scientific name
7,Azorhizobium caulinodans Dreyfus et al. 1988,,authority
7,Azotirhizobium caulinodans,,equivalent name
7,CCUG 26647,CCUG 26647 <type strain>,type material
7,DSM 5975,DSM 5975 <type strain>,type material
7,IFO 14845,IFO 14845 <type strain>,type material
7,JCM 20966,JCM 20966 <type strain>,type material
7,LMG 6465,LMG 6465 <type strain>,type material
7,LMG:6465,LMG:6465 <type strain>,type material
7,NBRC 14845,NBRC 14845 <type strain>,type material
7,ORS 571,ORS 571 <type strain>,type material
9,Acyrthosiphon pisum symbiont P,,includes
9,Buchnera aphidicola,,scientific name
9,Buchnera aphidicola Munson et al. 1991,,authority
9,primary endosymbiont of Schizaphis graminum,,includes
10,"Cellvibrio" Winogradsky 1929,,authority
10,Cellvibrio,,scientific name
10,Cellvibrio (ex Winogradsky 1929) Blackall et al. 1986 emend. Humphry et al. 2003,,authority
10,Cellvibrio (ex Winogradsky 1929) Blackall et al. 1986 emend. Suarez et al. 2014,,authority
11,"Cellulomonas gilvus" (Hulcher and King 1958) Christopherson et al. 2013,,authority
11,"Cellvibrio gilvus" Hulcher and King 1958,,authority
11,ATCC 13127,ATCC 13127 <type strain>,type material
11,Cellulomonas gilvus,,scientific name
11,Cellvibrio gilvus,,synonym
11,NRRL B-14078,NRRL B-14078 <type strain>,type material
13,Dictyoglomus,,scientific name
13,Dictyoglomus Saiki et al. 1985,,authority
14,ATCC 35947,ATCC 35947 <type strain>,type material
14,DSM 3960,DSM 3960 <type strain>,type material
14,Dictyoglomus thermophilum,,scientific name
14,Dictyoglomus thermophilum Saiki et al. 1985,,authority
14,strain H-6-12,strain H-6-12 <type strain>,type material
16,Methyliphilus,,equivalent name
16,Methylophilus,,scientific name
16,Methylophilus Jenkins et al. 1987,,authority
17,ATCC 53528,ATCC 53528 <type strain>,type material
17,DSM 46235,DSM 46235 <type strain>,type material
17,LMG 6787,LMG 6787 <type strain>,type material
17,LMG:6787,LMG:6787 <type strain>,type material
17,Methyliphilus methylitrophus,,equivalent name
17,Methyliphilus methylotrophus,,equivalent name
17,Methylophilus methylitrophus,,equivalent name
17,Methylophilus methylotrophus,,scientific name
17,Methylophilus methylotrophus Jenkins et al. 1987,,authority
17,Methylophilus sp. CBMB147,,includes
17,Methylotrophus methylophilus,,synonym
17,NCIB 10515,NCIB 10515 <type strain>,type material
17,NCIB:10515,NCIB:10515 <type strain>,type material
17,NCIMB 10515,NCIMB 10515 <type strain>,type material
17,VKM B-1623,VKM B-1623 <type strain>,type material
18,Pelobacter,,scientific name
18,Pelobacter Schink and Pfennig 1983,,authority
19,DSM 2380,DSM 2380 <type strain>,type material
19,NBRC 103641,NBRC 103641 <type strain>,type material
19,Pelobacter carbinolicus,,scientific name
19,Pelobacter carbinolicus Schink 1984,,authority
19,strain Gra Bd 1,strain Gra Bd 1 <type strain>,type material
20,Phenylobacterium,,scientific name
20,Phenylobacterium Lingens et al. 1985 emend. Abraham et al. 2008,,authority
20,Phenylobacterium Lingens et al. 1985 emend. Kanso and Patel 2004,,authority
20,Phenylobacterium Lingens et al. 1985 emend. Oh and Roh 2012,,authority
20,Phenylobacterium Lingens et al. 1985 emend. Tiago et al. 2005,,authority
21,ATCC 35973,ATCC 35973 <type strain>,type material
21,CIP 103305,CIP 103305 <type strain>,type material
21,DSM 1986,DSM 1986 <type strain>,type material
21,LMG 6165,LMG 6165 <type strain>,type material
21,LMG:6165,LMG:6165 <type strain>,type material
21,Phenylobacterium immobile,,scientific name
21,Phenylobacterium immobile Lingens et al. 1985,,authority
21,strain E,strain E <type strain>,type material
22,Shewanella,,scientific name
22,Shewanella MacDonell and Colwell 1986,,authority
23,ATCC 39565,ATCC 39565 <type strain>,type material
23,Alteromonas colwelliana,,synonym
23,Alteromonas colwelliana Weiner et al. 1988,,authority
23,Shewanella affinis,,synonym
23,Shewanella affinis Ivanova et al. 2004,,authority
23,Shewanella colwelliana,,scientific name
23,Shewanella colwelliana (Weiner et al. 1988) Coyne et al. 1990,,authority
23,strain LST-W,strain LST-W <type strain>,type material
24,"Pseudomonas putrefaciens" (Derby and Hammer) Long and Hammer 1941,,authority
24,ATCC 8071,ATCC 8071 <type strain>,type material
24,Alteromonas putrefaciens,,synonym
24,Alteromonas putrefaciens (ex Derby and Hammer) Lee et al. 1981,,authority
24,CCUG 13452 D,CCUG 13452 D <type strain>,type material
24,CFBP 3033,CFBP 3033 <type strain>,type material
