PRODUCTID	PRODUCTNDC	PRODUCTTYPENAME	PROPRIETARYNAME	PROPRIETARYNAMESUFFIX	NONPROPRIETARYNAME	DOSAGEFORMNAME	ROUTENAME	STARTMARKETINGDATE	ENDMARKETINGDATE	MARKETINGCATEGORYNAME	APPLICATIONNUMBER	LABELERNAME	SUBSTANCENAME	ACTIVE_NUMERATOR_STRENGTH	ACTIVE_INGRED_UNIT	PHARM_CLASSES	DEASCHEDULE	NDC_EXCLUDE_FLAG	LISTING_RECORD_CERTIFIED_THROUGH
0002-0800_4bb5d1cb-0fa7-48c7-9f6d-8d45f9b91649	0002-0800	HUMAN OTC DRUG	Sterile Diluent		diluent	INJECTION, SOLUTION	SUBCUTANEOUS	19870710		NDA	NDA018781	Eli Lilly and Company	WATER	1	mL/mL			N	20191231
0002-1200_957ee1b5-dfa7-4e3f-96e1-6bed1ffc0abe	0002-1200	HUMAN PRESCRIPTION DRUG	Amyvid		Florbetapir F 18	INJECTION, SOLUTION	INTRAVENOUS	20120601		NDA	NDA202008	Eli Lilly and Company	FLORBETAPIR F-18	51	mCi/mL	Radioactive Diagnostic Agent [EPC],Positron Emitting Activity [MoA]		N	20191231
0002-1407_14757f9d-f641-4836-acf3-229265588d1d	0002-1407	HUMAN PRESCRIPTION DRUG	Quinidine Gluconate		Quinidine Gluconate	SOLUTION	INTRAVENOUS	19500712		NDA	NDA007529	Eli Lilly and Company	QUINIDINE GLUCONATE	80	mg/mL	Antiarrhythmic [EPC],Cytochrome P450 2D6 Inhibitor [EPC],Cytochrome P450 2D6 Inhibitors [MoA]		N	20191231
0002-1433_4468578a-47d2-488e-9fd4-a8322070392f	0002-1433	HUMAN PRESCRIPTION DRUG	Trulicity		Dulaglutide	INJECTION, SOLUTION	SUBCUTANEOUS	20140918		BLA	BLA125469	Eli Lilly and Company	DULAGLUTIDE	.75	mg/.5mL	GLP-1 Receptor Agonist [EPC],Glucagon-Like Peptide 1 [CS],Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]		N	20201231
0002-1434_4468578a-47d2-488e-9fd4-a8322070392f	0002-1434	HUMAN PRESCRIPTION DRUG	Trulicity		Dulaglutide	INJECTION, SOLUTION	SUBCUTANEOUS	20140918		BLA	BLA125469	Eli Lilly and Company	DULAGLUTIDE	1.5	mg/.5mL	GLP-1 Receptor Agonist [EPC],Glucagon-Like Peptide 1 [CS],Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]		N	20201231
0002-1436_ad6f74e8-b0ef-4a96-9249-c1225c5cd6a7	0002-1436	HUMAN PRESCRIPTION DRUG	EMGALITY		galcanezumab	INJECTION, SOLUTION	SUBCUTANEOUS	20180927		BLA	BLA761063	Eli Lilly and Company	GALCANEZUMAB	120	mg/mL			N	20201231
0002-1445_e779cf1f-265c-4fed-931d-102fbaf7e14b	0002-1445	HUMAN PRESCRIPTION DRUG	TALTZ		ixekizumab	INJECTION, SOLUTION	SUBCUTANEOUS	20160322		BLA	BLA125521	Eli Lilly and Company	IXEKIZUMAB	80	mg/mL	Interleukin-17A Antagonist [EPC],Interleukin-17A Antagonists [MoA]		N	20191231
0002-2377_ad6f74e8-b0ef-4a96-9249-c1225c5cd6a7	0002-2377	HUMAN PRESCRIPTION DRUG	EMGALITY		galcanezumab	INJECTION, SOLUTION	SUBCUTANEOUS	20180927		BLA	BLA761063	Eli Lilly and Company	GALCANEZUMAB	120	mg/mL			N	20201231
0002-3004_f1404e9d-0c95-44e4-9eb0-7a2836a67bd8	0002-3004	HUMAN PRESCRIPTION DRUG	Prozac	Weekly	Fluoxetine hydrochloride	CAPSULE, DELAYED RELEASE	ORAL	20010316		NDA	NDA021235	Eli Lilly and Company	FLUOXETINE HYDROCHLORIDE	90	mg/1	Serotonin Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA]		N	20191231
0002-3227_f1ee27ad-c38e-430a-b027-0b7ebad7403e	0002-3227	HUMAN PRESCRIPTION DRUG	Strattera		Atomoxetine hydrochloride	CAPSULE	ORAL	20021126		NDA	NDA021411	Eli Lilly and Company	ATOMOXETINE HYDROCHLORIDE	10	mg/1	Norepinephrine Reuptake Inhibitor [EPC],Norepinephrine Uptake Inhibitors [MoA]		N	20201231
