"route_short_name","route_type","route_url"
"1","1","http://www.crtm.es/tu-transporte-publico/metro/lineas/4__1___.aspx"
"2","1","http://www.crtm.es/tu-transporte-publico/metro/lineas/4__2___.aspx"
"3","1","http://www.crtm.es/tu-transporte-publico/metro/lineas/4__3___.aspx"
"4","1","http://www.crtm.es/tu-transporte-publico/metro/lineas/4__4___.aspx"
"5","1","http://www.crtm.es/tu-transporte-publico/metro/lineas/4__5___.aspx"
"6","1","http://www.crtm.es/tu-transporte-publico/metro/lineas/4__6___.aspx"
"7","1","http://www.crtm.es/tu-transporte-publico/metro/lineas/4__7___.aspx"
"8","1","http://www.crtm.es/tu-transporte-publico/metro/lineas/4__8___.aspx"
"9","1","http://www.crtm.es/tu-transporte-publico/metro/lineas/4__9___.aspx"
"10","1","http://www.crtm.es/tu-transporte-publico/metro/lineas/4__10___.aspx"
"11","1","http://www.crtm.es/tu-transporte-publico/metro/lineas/4__11___.aspx"
"12","1","http://www.crtm.es/tu-transporte-publico/metro/lineas/4__12___.aspx"
"R","1","http://www.crtm.es/tu-transporte-publico/metro/lineas/4__R___.aspx"
