GeneID	UniGene_cluster
5668365	Aga.307
4578453	Aga.425
1275208	Aga.762
1268716	Aga.952
1275381	Aga.1002
1268994	Aga.1011
1268130	Aga.1211
5668363	Aga.1221
1268735	Aga.1469
1269060	Aga.1479
1268850	Aga.1693
1269042	Aga.1875
1268849	Aga.1959
1278624	Aga.2002
1268694	Aga.2320
1278607	Aga.2407
1268848	Aga.2517
3292616	Aga.2899
1278597	Aga.3494
4578451	Aga.3606
827019	At.2
819973	At.3
839053	At.4
822269	At.5
827645	At.6
827648	At.6
2745715	At.6
819717	At.8
816782	At.9
824585	At.10
822573	At.11
827076	At.12
821915	At.13
821916	At.13
821917	At.13
817340	At.14
822336	At.15
822337	At.15
835052	At.16
839445	At.17
831441	At.18
817642	At.19
839383	At.20
824217	At.21
816870	At.22
843804	At.23
829619	At.24
816269	At.25
829714	At.26
829904	At.27
827628	At.29
821817	At.30
827145	At.30
818142	At.31
840113	At.32
827266	At.33
816688	At.34
842081	At.35
837333	At.36
819392	At.37
817366	At.39
827529	At.40
829955	At.41
836704	At.43
826908	At.45
828835	At.45
839541	At.45
819189	At.46
818665	At.47
842293	At.48
827364	At.49
828418	At.50
816305	At.51
821017	At.52
824376	At.53
824377	At.53
827494	At.54
827495	At.54
832672	At.58
832673	At.58
832555	At.59
833559	At.60
831150	At.61
829825	At.62
829826	At.62
829139	At.64
833906	At.65
833910	At.65
833914	At.65
834571	At.68
830646	At.71
830648	At.72
839866	At.73
830076	At.75
829435	At.76
822078	At.77
829681	At.77
824621	At.78
829083	At.79
