tax_id	GeneID	status	RNA_nucleotide_accession.version	RNA_nucleotide_gi	protein_accession.version	protein_gi	genomic_nucleotide_accession.version	genomic_nucleotide_gi	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	assembly	mature_peptide_accession.version	mature_peptide_gi	Symbol
9	1246500	-	-	-	AAD12597.1	3282737	AF041837.1	3282736	-	-	?	-	-	-	repA1
9	1246500	PROVISIONAL	-	-	NP_047184.1	10954455	NC_001911.1	10954454	348	1190	-	-	-	-	repA1
9	1246501	-	-	-	AAD12599.1	3282739	AF041837.1	3282736	-	-	?	-	-	-	repA2
9	1246501	PROVISIONAL	-	-	NP_047186.1	10954457	NC_001911.1	10954454	2157	2912	+	-	-	-	repA2
9	1246502	-	-	-	AAD12600.1	3282740	AF041837.1	3282736	-	-	?	-	-	-	leuA
9	1246502	-	-	-	CAW33982.1	219730360	FB784033.1	219730359	-	-	?	-	-	-	leuA
9	1246502	-	-	-	CAW37628.1	219783138	FB791583.1	219783137	-	-	?	-	-	-	leuA
9	1246502	-	-	-	CBC00016.1	257293830	HB654092.1	257293829	-	-	?	-	-	-	leuA
9	1246502	-	-	-	CBC03500.1	257287470	HB661642.1	257287469	-	-	?	-	-	-	leuA
9	1246502	VALIDATED	-	-	NP_047187.1	10954458	NC_001911.1	10954454	3040	4590	+	-	-	-	leuA
9	1246503	-	-	-	AAD12601.1	3282741	AF041837.1	3282736	-	-	?	-	-	-	leuB
9	1246503	PROVISIONAL	-	-	NP_047188.1	10954459	NC_001911.1	10954454	4623	5714	+	-	-	-	leuB
9	1246504	-	-	-	AAD12602.1	3282742	AF041837.1	3282736	-	-	?	-	-	-	leuC
9	1246504	VALIDATED	-	-	NP_047189.1	10954460	NC_001911.1	10954454	5717	7117	+	-	-	-	leuC
9	1246505	-	-	-	AAD12603.1	3282743	AF041837.1	3282736	-	-	?	-	-	-	leuD
9	1246505	PROVISIONAL	-	-	NP_047190.1	10954461	NC_001911.1	10954454	7141	7767	+	-	-	-	leuD
9	1246509	-	-	-	CAC10488.1	10443175	AJ404864.1	10443174	-	-	?	-	-	-	ibp
9	1246509	PROVISIONAL	-	-	NP_858065.1	31982990	NC_004843.1	31982989	8	457	+	-	-	-	ibp
9	1246510	-	-	-	CAC10489.1	10443176	AJ404864.1	10443174	-	-	?	-	-	-	repA1
9	1246510	PROVISIONAL	-	-	NP_858066.1	31982991	NC_004843.1	31982989	607	1449	+	-	-	-	repA1
9	3722426	-	-	-	AAD12598.1	3282738	AF041837.1	3282736	-	-	?	-	-	-	pLeuDn_02
9	3722426	PROVISIONAL	-	-	NP_047185.1	10954456	NC_001911.1	10954454	1487	1990	+	-	-	-	pLeuDn_02
9	8655732	-	-	-	AAV40958.1	54806295	AY546103.1	67866967	-	-	?	-	-	-	leuC
9	8655732	PROVISIONAL	-	-	YP_003329478.1	270208711	NC_013549.1	270208709	1111	2502	+	-	-	-	leuC
9	8655733	-	-	-	AAV40959.1	54806296	AY546103.1	67866967	-	-	?	-	-	-	leuD
9	8655733	PROVISIONAL	-	-	YP_003329479.1	270208712	NC_013549.1	270208709	2560	3162	+	-	-	-	leuD
9	8655734	-	-	-	AAV40960.1	54806297	AY546103.1	67866967	-	-	?	-	-	-	leuA
9	8655734	PROVISIONAL	-	-	YP_003329480.1	270208713	NC_013549.1	270208709	3488	5035	+	-	-	-	leuA
9	8655735	-	-	-	AAV40961.1	54806298	AY546103.1	67866967	-	-	?	-	-	-	repA
9	8655735	PROVISIONAL	-	-	YP_003329481.1	270208714	NC_013549.1	270208709	5466	6209	+	-	-	-	repA
9	8655736	-	-	-	AAV40957.1	54806294	AY546103.1	67866967	-	-	?	-	-	-	leuB
9	8655736	PROVISIONAL	-	-	YP_003329477.1	270208710	NC_013549.1	270208709	14	1111	+	-	-	-	leuB
9	20468915	-	-	-	CAA09994.1	4160153	AJ012333.1	4160151	-	-	?	-	-	-	trpG
9	20468915	PROVISIONAL	-	-	YP_009062868.1	690387890	NC_025017.1	690387888	2298	2882	+	-	-	-	trpG
9	20468916	-	-	-	CAA09993.1	4160152	AJ012333.1	4160151	-	-	?	-	-	-	trpE
9	20468916	-	-	-	CBN61209.1	298544219	HC893525.1	298544218	-	-	?	-	-	-	trpE
9	20468916	-	-	-	CBN64086.1	298537196	HC899418.1	298537195	-	-	?	-	-	-	trpE
9	20468916	PROVISIONAL	-	-	YP_009062867.1	690387889	NC_025017.1	690387888	0	1580	+	-	-	-	trpE
33	5961931	-	-	-	ABX46802.1	160700511	EU137666.1	160700492	-	-	?	-	-	-	pMF1.19c
33	5961931	PROVISIONAL	-	-	YP_001691218.1	169302958	NC_010372.1	169302939	15822	16589	-	-	-	-	pMF1.19c
33	5961932	-	-	-	ABX46795.1	160700504	EU137666.1	160700492	-	-	?	-	-	-	pMF1.12
33	5961932	PROVISIONAL	-	-	YP_001691211.1	169302951	NC_010372.1	169302939	10004	11044	+	-	-	-	pMF1.12
33	5961933	-	-	-	ABX46805.1	160700514	EU137666.1	160700492	-	-	?	-	-	-	pMF1.22
33	5961933	PROVISIONAL	-	-	YP_001691221.1	169302961	NC_010372.1	169302939	17650	18333	+	-	-	-	pMF1.22
33	5961934	-	-	-	ABX46800.1	160700509	EU137666.1	160700492	-	-	?	-	-	-	pMF1.17
33	5961934	PROVISIONAL	-	-	YP_001691216.1	169302956	NC_010372.1	169302939	14973	15452	+	-	-	-	pMF1.17
33	5961935	-	-	-	ABX46790.1	160700499	EU137666.1	160700492	-	-	?	-	-	-	pMF1.7
33	5961935	PROVISIONAL	-	-	YP_001691206.1	169302946	NC_010372.1	169302939	6573	7331	+	-	-	-	pMF1.7
33	5961936	-	-	-	ABX46789.1	160700498	EU137666.1	160700492	-	-	?	-	-	-	pMF1.6
33	5961936	PROVISIONAL	-	-	YP_001691205.1	169302945	NC_010372.1	169302939	6106	6570	+	-	-	-	pMF1.6
33	5961937	-	-	-	ABX46806.1	160700515	EU137666.1	160700492	-	-	?	-	-	-	pMF1.23
33	5961937	PROVISIONAL	-	-	YP_001691222.1	169302962	NC_010372.1	169302939	18335	18595	+	-	-	-	pMF1.23
33	5961938	-	-	-	ABX46796.1	160700505	EU137666.1	160700492	-	-	?	-	-	-	pMF1.13
33	5961938	PROVISIONAL	-	-	YP_001691212.1	169302952	NC_010372.1	169302939	11249	11779	+	-	-	-	pMF1.13
33	5961939	-	-	-	ABX46784.1	160700493	EU137666.1	160700492	-	-	?	-	-	-	pMF1.1
33	5961939	PROVISIONAL	-	-	YP_001691200.1	169302940	NC_010372.1	169302939	802	1752	+	-	-	-	pMF1.1
33	5961940	-	-	-	ABX46792.1	160700501	EU137666.1	160700492	-	-	?	-	-	-	pMF1.9
33	5961940	PROVISIONAL	-	-	YP_001691208.1	169302948	NC_010372.1	169302939	7960	8262	+	-	-	-	pMF1.9
33	5961941	-	-	-	ABX46788.1	160700497	EU137666.1	160700492	-	-	?	-	-	-	pMF1.5
33	5961941	PROVISIONAL	-	-	YP_001691204.1	169302944	NC_010372.1	169302939	4663	5529	+	-	-	-	pMF1.5
33	5961942	-	-	-	ABX46793.1	160700502	EU137666.1	160700492	-	-	?	-	-	-	pMF1.10
33	5961942	PROVISIONAL	-	-	YP_001691209.1	169302949	NC_010372.1	169302939	8274	9224	+	-	-	-	pMF1.10
33	5961943	-	-	-	ABX46804.1	160700513	EU137666.1	160700492	-	-	?	-	-	-	pMF1.21
33	5961943	PROVISIONAL	-	-	YP_001691220.1	169302960	NC_010372.1	169302939	17390	17653	+	-	-	-	pMF1.21
33	5961944	-	-	-	ABX46791.1	160700500	EU137666.1	160700492	-	-	?	-	-	-	pMF1.8
33	5961944	PROVISIONAL	-	-	YP_001691207.1	169302947	NC_010372.1	169302939	7328	7963	+	-	-	-	pMF1.8
33	5961945	-	-	-	ABX46803.1	160700512	EU137666.1	160700492	-	-	?	-	-	-	pMF1.20c
33	5961945	PROVISIONAL	-	-	YP_001691219.1	169302959	NC_010372.1	169302939	16586	17308	-	-	-	-	pMF1.20c
33	5961946	-	-	-	ABX46787.1	160700496	EU137666.1	160700492	-	-	?	-	-	-	pMF1.4
33	5961946	PROVISIONAL	-	-	YP_001691203.1	169302943	NC_010372.1	169302939	2756	4219	+	-	-	-	pMF1.4
33	5961947	-	-	-	ABX46797.1	160700506	EU137666.1	160700492	-	-	?	-	-	-	pMF1.14
33	5961947	PROVISIONAL	-	-	YP_001691213.1	169302953	NC_010372.1	169302939	11776	13680	+	-	-	-	pMF1.14
33	5961948	-	-	-	ABX46785.1	160700494	EU137666.1	160700492	-	-	?	-	-	-	pMF1.2
33	5961948	PROVISIONAL	-	-	YP_001691201.1	169302941	NC_010372.1	169302939	1749	2501	+	-	-	-	pMF1.2
33	5961949	-	-	-	ABX46801.1	160700510	EU137666.1	160700492	-	-	?	-	-	-	pMF1.18
33	5961949	PROVISIONAL	-	-	YP_001691217.1	169302957	NC_010372.1	169302939	15442	15825	+	-	-	-	pMF1.18
33	5961950	-	-	-	ABX46799.1	160700508	EU137666.1	160700492	-	-	?	-	-	-	pMF1.16
33	5961950	PROVISIONAL	-	-	YP_001691215.1	169302955	NC_010372.1	169302939	14028	14852	+	-	-	-	pMF1.16
33	5961951	-	-	-	ABX46794.1	160700503	EU137666.1	160700492	-	-	?	-	-	-	pMF1.11
33	5961951	PROVISIONAL	-	-	YP_001691210.1	169302950	NC_010372.1	169302939	9263	9703	+	-	-	-	pMF1.11
33	5961952	-	-	-	ABX46798.1	160700507	EU137666.1	160700492	-	-	?	-	-	-	pMF1.15
33	5961952	PROVISIONAL	-	-	YP_001691214.1	169302954	NC_010372.1	169302939	13677	14009	+	-	-	-	pMF1.15
33	5961953	-	-	-	ABX46786.1	160700495	EU137666.1	160700492	-	-	?	-	-	-	pMF1.3
33	5961953	PROVISIONAL	-	-	YP_001691202.1	169302942	NC_010372.1	169302939	2515	2691	+	-	-	-	pMF1.3
139	1343044	NA	-	-	-	-	NC_004971.1	32455274	160	417	+	-	-	-	orf01
139	1343045	-	-	-	AAF29774.1	6856106	AF169008.1	6856105	-	-	?	-	-	-	orf02
139	1343045	PROVISIONAL	-	-	NP_862625.1	32455275	NC_004971.1	32455274	414	650	+	-	-	-	orf02
139	1343046	-	-	-	AAF29775.1	6856107	AF169008.1	6856105	-	-	?	-	-	-	orf03
139	1343046	PROVISIONAL	-	-	NP_862626.1	32455276	NC_004971.1	32455274	658	1947	+	-	-	-	orf03
139	1343047	-	-	-	AAF29776.1	6856108	AF169008.1	6856105	-	-	?	-	-	-	orf04
139	1343047	PROVISIONAL	-	-	NP_862627.1	32455277	NC_004971.1	32455274	2187	2651	+	-	-	-	orf04
139	1343048	-	-	-	AAF29777.1	6856109	AF169008.1	6856105	-	-	?	-	-	-	orf05
139	1343048	PROVISIONAL	-	-	NP_862628.1	32455278	NC_004971.1	32455274	2655	3605	+	-	-	-	orf05
139	1343049	-	-	-	AAF29778.1	6856110	AF169008.1	6856105	-	-	?	-	-	-	orf06
139	1343049	PROVISIONAL	-	-	NP_862629.1	32455279	NC_004971.1	32455274	3623	4177	+	-	-	-	orf06
139	1343050	-	-	-	AAF29779.1	6856111	AF169008.1	6856105	-	-	?	-	-	-	orf07
139	1343050	-	-	-	AIU79676.1	700326423	CP009660.1	700326405	-	-	?	-	-	-	orf07
139	1343050	-	-	-	AIU79762.1	700327475	CP009662.1	700327457	-	-	?	-	-	-	orf07
139	1343050	-	-	-	AIU79837.1	700328423	CP009664.1	700328407	-	-	?	-	-	-	orf07
