HGNC ID	Approved Symbol	Approved Name	Status	Locus Type	Locus Group	Previous Symbols	Previous Names	Synonyms	Name Synonyms	Chromosome	Date Approved	Date Modified	Date Symbol Changed	Date Name Changed	Accession Numbers	Enzyme IDs	Entrez Gene ID	Ensembl Gene ID	Mouse Genome Database ID	Specialist Database Links	Specialist Database IDs	Pubmed IDs	RefSeq IDs	Gene Family Tag	Gene family description	Record Type	Primary IDs	Secondary IDs	CCDS IDs	VEGA IDs	Locus Specific Databases	Entrez Gene ID (supplied by NCBI)	OMIM ID (supplied by NCBI)	RefSeq (supplied by NCBI)	UniProt ID (supplied by UniProt)	Ensembl ID (supplied by Ensembl)	Vega ID (supplied by Vega)	UCSC ID (supplied by UCSC)	Mouse Genome Database ID (supplied by MGI)	Rat Genome Database ID (supplied by RGD)	RNAcentral IDs (supplied by RNAcentral)	LNCipedia symbol (supplied by LNCipedia)
HGNC:5	A1BG	alpha-1-B glycoprotein	Approved	gene with protein product	protein-coding gene					19q13.43	1989-06-30	2015-07-13					1	ENSG00000121410	MGI:2152878	http://merops.sanger.ac.uk/cgi-bin/merops.cgi?id=I43.950	, , , , , , , , , I43.950, A1BG, , , , , , , 	2591067	NM_130786	IGD	"Immunoglobulin superfamily / Immunoglobulin-like domain containing"	Standard			CCDS12976	OTTHUMG00000183507		1	138670	NM_130786	P04217	ENSG00000121410	OTTHUMG00000183507	uc002qsd.5	MGI:2152878	RGD:69417		
HGNC:37133	A1BG-AS1	A1BG antisense RNA 1	Approved	RNA, long non-coding	non-coding RNA	NCRNA00181, A1BGAS, A1BG-AS	"non-protein coding RNA 181", "A1BG antisense RNA (non-protein coding)", "A1BG antisense RNA 1 (non-protein coding)"	FLJ23569		19q13.43	2009-07-20	2013-06-27	2010-11-25	2012-08-15	BC040926		503538	ENSG00000268895			, , , , , , , , , , , , , , , , , 		NR_015380	LNCRNA	"Long non-coding RNAs"	Standard				OTTHUMG00000183508		503538		NR_015380		ENSG00000268895	OTTHUMG00000183508	uc002qse.3			URS00007E4F6E	A1BG-AS1
HGNC:24086	A1CF	APOBEC1 complementation factor	Approved	gene with protein product	protein-coding gene			ACF, ASP, ACF64, ACF65, APOBEC1CF		10q11.23	2007-11-23	2016-10-05			AF271790		29974	ENSG00000148584	MGI:1917115	http://cancer.sanger.ac.uk/cosmic/gene/overview?ln=A1CF	, , , , , , , , , , A1CF, , , , , , , 	11815617, 11072063	NM_014576	RBM	"RNA binding motif (RRM) containing"	Standard			CCDS7241, CCDS7242, CCDS7243, CCDS73133	OTTHUMG00000018240		29974	618199	NM_001198818	Q9NQ94	ENSG00000148584	OTTHUMG00000018240	uc057tgv.1	MGI:1917115	RGD:619834		
HGNC:6	A1S9T	symbol withdrawn, see [HGNC:12469](/data/gene-symbol-report/#!/hgnc_id/HGNC:12469)	Symbol Withdrawn	unknown	other						1986-01-01	2019-07-26									, , , , , , , , , , , , , , , , , 					Standard																
HGNC:7	A2M	alpha-2-macroglobulin	Approved	gene with protein product	protein-coding gene			FWP007, S863-7, CPAMD5		12p13.31	1986-01-01	2018-05-03			BX647329, X68728, M11313		2	ENSG00000175899	MGI:2449119	http://merops.sanger.ac.uk/cgi-bin/merops.cgi?id=I39.001	, , , , , , , , , I39.001, A2M, , , , , , , 	2408344, 9697696	NM_000014			Standard			CCDS44827	OTTHUMG00000150267		2	103950	NM_000014	P01023	ENSG00000175899	OTTHUMG00000150267	uc001qvk.2	MGI:2449119	RGD:2004		
HGNC:27057	A2M-AS1	A2M antisense RNA 1	Approved	RNA, long non-coding	non-coding RNA		"A2M antisense RNA 1 (non-protein coding)", "A2M antisense RNA 1"			12p13.31	2012-06-23	2018-03-21		2018-03-21			144571	ENSG00000245105			, , , , , , , , , , , , , , , , , 		NR_026971	LNCRNA	"Long non-coding RNAs"	Standard				OTTHUMG00000168289		144571		NR_026971		ENSG00000245105	OTTHUMG00000168289	uc009zgj.2			URS00001F234A	A2M-AS1
HGNC:23336	A2ML1	alpha-2-macroglobulin like 1	Approved	gene with protein product	protein-coding gene	CPAMD9	"C3 and PZP-like, alpha-2-macroglobulin domain containing 9"	FLJ25179, p170		12p13.31	2005-07-20	2018-04-17	2005-09-01	2016-03-07	AK057908		144568	ENSG00000166535		http://merops.sanger.ac.uk/cgi-bin/merops.cgi?id=I39.007	, , , , , , , , , I39.007, A2ML1, 410627, , , , , , 	16298998	NM_144670			Standard			CCDS8596, CCDS73439	OTTHUMG00000128499		144568	610627	NM_001282424	A8K2U0	ENSG00000166535	OTTHUMG00000128499	uc001quz.6		RGD:1565709		
HGNC:41022	A2ML1-AS1	A2ML1 antisense RNA 1	Approved	RNA, long non-coding	non-coding RNA		"A2ML1 antisense RNA 1 (non-protein coding)"			12p13.31	2011-05-05	2014-11-19		2012-08-15				ENSG00000256661			, , , , , , , , , , , , , , , , , 			LNCRNA	"Long non-coding RNAs"	Standard				OTTHUMG00000168273		100874108				ENSG00000256661	OTTHUMG00000168273	uc058kxy.1			URS00005F9A07	A2ML1-AS1
HGNC:41523	A2ML1-AS2	A2ML1 antisense RNA 2	Approved	RNA, long non-coding	non-coding RNA		"A2ML1 antisense RNA 2 (non-protein coding)"			12p13.31	2011-05-05	2014-11-19		2012-08-15				ENSG00000256904			, , , , , , , , , , , , , , , , , 			LNCRNA	"Long non-coding RNAs"	Standard				OTTHUMG00000168274		106478979				ENSG00000256904	OTTHUMG00000168274	uc058kyb.1			URS00001BFF15	A2ML1-AS2
HGNC:8	A2MP1	alpha-2-macroglobulin pseudogene 1	Approved	pseudogene	pseudogene	A2MP	"alpha-2-macroglobulin pseudogene"			12p13.31	1991-09-12	2016-08-22	2010-02-24	2010-02-24	M24415		3	ENSG00000256069		http://tables.pseudogene.org/PGOHUM00000291221	, , , , , , , , , , , , PGOHUM00000291221, , , , , 	2478422	NG_001067			Standard				OTTHUMG00000168334		3		NR_040112		ENSG00000256069	OTTHUMG00000168334					
