GeneID	UniSTS_ID
79658	1
100579764	2
100583142	2
100595700	2
100174056	3
455619	3
6294	3
696356	3
699907	3
100056745	4
100403217	4
100436057	4
100475299	4
101016594	4
451739	4
65125	4
706493	4
100594288	4
23300	5
738730	5
2245	7
90121	7
100603373	11
453174	11
91833	11
100580834	12
10533	12
470747	12
100457678	13
57606	13
461341	13
2321	14
100456061	14
100590200	14
452512	14
574133	14
2258	15
729045	15
730528	15
740651	15
100457408	16
100582079	16
459718	16
9360	16
101003683	18
101056999	18
55779	18
460589	18
130162	19
100155691	20
375057	20
738004	20
100356568	20
100400889	20
100482000	20
100511470	20
100563316	20
100592960	20
100598121	20
100601633	20
100662419	20
609381	20
699558	20
100450736	21
100595371	21
465240	21
65268	21
463822	22
9601	22
100388984	23
100441207	23
4915	23
709757	23
735394	23
100401118	24
100444952	24
101019652	24
101094739	24
14734	24
2719	24
465866	24
706773	24
100288762	24
100292825	24
100591673	24
100861693	24
100172458	25
101011526	25
23091	25
703196	25
27241	26
27440	27
458630	27
100592728	27
10659	28
450298	28
100586673	28
100391157	29
100460050	29
