tax_id	GeneID	Vega_gene_identifier	RNA_nucleotide_accession.version	Vega_rna_identifier	protein_accession.version	Vega_protein_identifier
7955	30037	OTTDARG00000032698	-	-	XP_017211520.1	OTTDARP00000036099
7955	30037	OTTDARG00000032698	NM_130907.2	OTTDART00000045738	NP_570982.2	OTTDARP00000036100
7955	30038	OTTDARG00000016206	NM_130908.2	OTTDART00000019437	NP_570983.2	OTTDARP00000016444
7955	30066	OTTDARG00000032200	-	-	XP_009292852.1	OTTDARP00000035536
7955	30070	OTTDARG00000020748	NM_130914.2	OTTDART00000026081	NP_570989.2	OTTDARP00000021424
7955	30071	OTTDARG00000029274	NM_001313682.1	OTTDART00000040133	NP_001300611.1	OTTDARP00000032083
7955	30072	OTTDARG00000022986	NM_130916.1	OTTDART00000029852	NP_570991.1	OTTDARP00000024351
7955	30077	OTTDARG00000020492	NM_130920.2	OTTDART00000025656	NP_570995.1	OTTDARP00000021092
7955	30078	OTTDARG00000018463	NM_130921.2	OTTDART00000022421	NP_570996.2	OTTDARP00000018787
7955	30080	OTTDARG00000019915	-	-	-	-
7955	30080	OTTDARG00000019915	-	-	NP_570998.1	OTTDARP00000020348
7955	30082	OTTDARG00000019181	-	-	NP_571000.1	OTTDARP00000019511
7955	30082	OTTDARG00000019181	-	-	XP_009305844.1	OTTDARP00000019512
7955	30083	OTTDARG00000037705	-	-	-	-
7955	30083	OTTDARG00000037705	-	-	XP_017207666.1	OTTDARP00000042387
7955	30084	OTTDARG00000037706	-	-	NP_571002.1	OTTDARP00000042388
7955	30085	OTTDARG00000027139	-	-	NP_571003.1	OTTDARP00000029179
7955	30086	OTTDARG00000038155	-	-	-	-
7955	30093	OTTDARG00000042593	NM_001308956.1	OTTDART00000061532	NP_001295885.1	OTTDARP00000048077
7955	30093	OTTDARG00000042593	NM_130930.3	OTTDART00000061530	NP_571005.2	OTTDARP00000048076
7955	30094	OTTDARG00000034740	-	-	-	-
7955	30095	OTTDARG00000018464	NM_130932.2	OTTDART00000022422	NP_571007.2	OTTDARP00000018788
7955	30096	OTTDARG00000031741	-	-	NP_571008.1	OTTDARP00000035013
7955	30100	OTTDARG00000021690	NM_001008611.2	OTTDART00000027690	NP_001008611.1	OTTDARP00000022676
7955	30101	OTTDARG00000020168	-	-	-	-
7955	30104	OTTDARG00000019755	NM_130936.1	OTTDART00000024405	NP_571011.1	OTTDARP00000020150
7955	30105	OTTDARG00000023607	-	-	XP_005164595.1	OTTDARP00000048609
7955	30112	OTTDARG00000020575	NM_001035261.2	OTTDART00000025789	NP_001030338.2	OTTDARP00000045655
7955	30113	OTTDARG00000020417	NM_130938.1	OTTDART00000025523	NP_571013.1	OTTDARP00000020989
7955	30114	OTTDARG00000020072	NM_130939.1	OTTDART00000024959	NP_571014.1	OTTDARP00000020554
7955	30115	OTTDARG00000007026	NM_130940.3	OTTDART00000007900	NP_571015.3	OTTDARP00000006994
7955	30116	OTTDARG00000038276	NM_130941.2	OTTDART00000054845	NP_571016.2	OTTDARP00000043026
7955	30117	OTTDARG00000020186	NM_001328368.1	OTTDART00000025133	NP_001315297.1	OTTDARP00000034174
7955	30117	OTTDARG00000020186	NM_198062.2	OTTDART00000025132	NP_932328.2	OTTDARP00000034173
7955	30119	OTTDARG00000026097	NM_130943.2	OTTDART00000034538	NP_571018.1	OTTDARP00000027835
7955	30120	OTTDARG00000020683	NM_130944.1	OTTDART00000025961	NP_571019.1	OTTDARP00000021328
7955	30121	OTTDARG00000020901	NM_130945.2	OTTDART00000026343	NP_571020.2	OTTDARP00000021622
7955	30122	OTTDARG00000043343	NM_130946.3	OTTDART00000025912	NP_571021.3	OTTDARP00000021290
7955	30123	OTTDARG00000035517	NM_001040387.1	OTTDART00000050554	NP_001035477.1	OTTDARP00000039691
7955	30125	OTTDARG00000038535	-	-	XP_017207084.1	OTTDARP00000043308
7955	30125	OTTDARG00000038535	NM_130948.1	OTTDART00000055210	NP_571023.1	OTTDARP00000043307
7955	30126	OTTDARG00000020534	NM_130949.2	OTTDART00000025732	NP_571024.1	OTTDARP00000021155
7955	30127	OTTDARG00000013718	NM_130950.1	OTTDART00000016328	NP_571025.1	OTTDARP00000013843
7955	30128	OTTDARG00000028143	NM_001201398.1	OTTDART00000038199	NP_001188327.1	OTTDARP00000030615
7955	30129	OTTDARG00000018548	NM_130952.1	OTTDART00000022544	NP_571027.1	OTTDARP00000018870
7955	30130	OTTDARG00000035426	NM_130953.1	OTTDART00000050417	NP_571028.1	OTTDARP00000039577
7955	30131	OTTDARG00000019396	NM_130954.2	OTTDART00000023812	NP_571029.2	OTTDARP00000019739
7955	30138	OTTDARG00000035451	NM_130955.2	OTTDART00000050446	NP_571030.2	OTTDARP00000039600
7955	30140	OTTDARG00000004981	-	-	XP_009292908.1	OTTDARP00000004829
7955	30141	OTTDARG00000018419	NM_130958.1	OTTDART00000022344	NP_571033.1	OTTDARP00000018729
7955	30144	OTTDARG00000020774	NM_130959.2	OTTDART00000026125	NP_571034.1	OTTDARP00000021456
7955	30145	OTTDARG00000005740	NM_130960.1	OTTDART00000006263	NP_571035.1	OTTDARP00000005572
7955	30146	OTTDARG00000020110	NM_130961.1	OTTDART00000025008	NP_571036.1	OTTDARP00000020592
7955	30147	OTTDARG00000018571	NM_130962.1	OTTDART00000022579	NP_571037.1	OTTDARP00000018894
7955	30148	OTTDARG00000032776	NM_001328376.1	OTTDART00000045867	NP_001315305.1	OTTDARP00000036191
7955	30148	OTTDARG00000032776	NM_130963.2	OTTDART00000045868	NP_571038.2	OTTDARP00000036192
7955	30151	OTTDARG00000043845	NM_130964.2	OTTDART00000063698	NP_571039.1	OTTDARP00000049814
7955	30154	OTTDARG00000020879	NM_130967.1	OTTDART00000026301	NP_571042.1	OTTDARP00000021590
7955	30155	OTTDARG00000019433	NM_130968.1	OTTDART00000023867	NP_571043.1	OTTDARP00000019775
7955	30158	OTTDARG00000020248	NM_130971.1	OTTDART00000025245	NP_571046.1	OTTDARP00000020775
